domain,block_type,doi,title,attempted_url
academicjournals.org,html_landing_page,10.5897/ijps.9000589,Theoretical investigations for electronic structures and photodissociation of bromine molecule,https://academicjournals.org/journal/IJPS/article-abstract/279438A28097
aip.scitation.org,html_landing_page,10.1063/1.1398101,<i>Ab initio</i> A′1 ground potential energy surface and transition state theory kinetics study of t,https://aip.scitation.org/doi/pdf/10.1063/1.1398101
aip.scitation.org,html_landing_page,10.1063/1.1398103,Simulation of Ã 1B1→X 1A1 CF2 single vibronic level emissions: Including anharmonic and Duschinsky e,https://aip.scitation.org/doi/pdf/10.1063/1.1398103
aip.scitation.org,html_landing_page,10.1063/1.1408298,<i>Ab initio</i> CASPT2//CASSCF study of the O(1D)+H2O(X 1A1) reaction,https://aip.scitation.org/doi/pdf/10.1063/1.1408298
aip.scitation.org,html_landing_page,10.1063/1.1408301,"<i>Ab initio</i>, VTST, and QCT study of the 1 2A″ potential energy surface of the N(2D)+O2(X 3Σg−)→",https://aip.scitation.org/doi/pdf/10.1063/1.1408301
aip.scitation.org,html_landing_page,10.1063/1.1427714,Photodissociation of O2 in the Herzberg continuum. I. <i>Ab initio</i> calculation of potential ener,https://aip.scitation.org/doi/pdf/10.1063/1.1427714
aip.scitation.org,html_landing_page,10.1063/1.1554271,"Potential energy functions of the X 2B1, Ã 2B2, B 2A1, and C 2A2 states of Cl2O+ and the X 1A1 state",https://aip.scitation.org/doi/pdf/10.1063/1.1554271
aip.scitation.org,html_landing_page,10.1063/1.2128335,Theoretical Investigation of HS2 Radical and Its Positive Ion,https://aip.scitation.org/doi/pdf/10.1063/1.2128335
aip.scitation.org,html_landing_page,10.1063/1.2128372,Accurate ab Initio Study of the C3S Molecule,https://aip.scitation.org/doi/pdf/10.1063/1.2128372
aip.scitation.org,html_landing_page,10.1063/1.2187974,The electronic structure of oxo-Mn(salen): Single-reference and multireference approaches,https://aip.scitation.org/doi/pdf/10.1063/1.2187974
aip.scitation.org,html_landing_page,10.1063/1.2196410,Canonical transformation theory for multireference problems,https://aip.scitation.org/doi/pdf/10.1063/1.2196410
aip.scitation.org,html_landing_page,10.1063/1.2646522,Photodissociation of vibrationally excited SH and SD radicals at 288 and 291nm: The S(D21) channel,https://aip.scitation.org/doi/pdf/10.1063/1.2646522
aip.scitation.org,html_landing_page,10.1063/1.2710268,"Cluster-enhanced X–O2 photochemistry (X=CH3I, C3H6, C6H12, and Xe)",https://aip.scitation.org/doi/pdf/10.1063/1.2710268
aip.scitation.org,html_landing_page,10.1063/1.2790892,<i>Ab initio</i> calculations on the XA′1 and AA″1 states of HPO and Franck-Condon simulation of the,https://aip.scitation.org/doi/pdf/10.1063/1.2790892
aip.scitation.org,html_landing_page,10.1063/1.2800023,Linear and nonlinear optical properties of some organoxenon derivatives,https://aip.scitation.org/doi/pdf/10.1063/1.2800023
aip.scitation.org,html_landing_page,10.1063/1.3122542,"Excited states of Nb3N2 and Nb3C2: Density functional theory, CASSCF, and MRCI studies",https://aip.scitation.org/doi/pdf/10.1063/1.3122542
aip.scitation.org,html_landing_page,10.1063/1.3491264,Theoretical characterization of the SiC3H− anion,https://aip.scitation.org/doi/pdf/10.1063/1.3491264
aip.scitation.org,html_landing_page,10.1063/1.470619,<i>Ab</i> <i>initio</i> model potential study of the optical absorption spectrum of Mn2+-doped CaF2,https://aip.scitation.org/doi/pdf/10.1063/1.470619
aip.scitation.org,html_landing_page,10.1063/1.480854,A theoretical study of the 1B2u and 1B1u vibronic bands in benzene,https://aip.scitation.org/doi/pdf/10.1063/1.480854
aip.scitation.org,html_landing_page,10.1063/1.4810748,Communication: Extension of a universal explicit electron correlation correction to general complete,https://aip.scitation.org/doi/pdf/10.1063/1.4810748
aip.scitation.org,html_landing_page,10.1063/1.4818727,"Communication: Electronic UV-Vis transient spectra of the ·OH reaction products of uracil, thymine, ",https://aip.scitation.org/doi/pdf/10.1063/1.4818727
aip.scitation.org,html_landing_page,10.1063/1.4853655,N1s and O1s double ionization of the NO and N2O molecules,https://aip.scitation.org/doi/pdf/10.1063/1.4853655
aip.scitation.org,html_landing_page,10.1063/1.4866447,Communication: The dark singlet state as a doorway state in the ultrafast and efficient intersystem ,https://aip.scitation.org/doi/pdf/10.1063/1.4866447
aip.scitation.org,html_landing_page,10.1063/1.4875695,Computational approach to the study of thermal spin crossover phenomena,https://aip.scitation.org/doi/pdf/10.1063/1.4875695
aip.scitation.org,html_landing_page,10.1063/1.4901328,Communication: Smoothing out excited-state dynamics: Analytical gradients for dynamically weighted c,https://aip.scitation.org/doi/pdf/10.1063/1.4901328
aip.scitation.org,html_landing_page,10.1063/1.4914922,Polarizable embedding with a multiconfiguration short-range density functional theory linear respons,https://aip.scitation.org/doi/pdf/10.1063/1.4914922
aip.scitation.org,html_landing_page,10.1063/1.4941608,Photoionization of furan from the ground and excited electronic states,https://aip.scitation.org/doi/pdf/10.1063/1.4941608
aip.scitation.org,html_landing_page,10.1063/1.4971856,<i>Ab initio</i> quantum–chemical computations of the electronic states in HgBr2 and IBr: Molecules ,https://aip.scitation.org/doi/pdf/10.1063/1.4971856
aip.scitation.org,html_landing_page,10.1063/1.4990661,"Potential energy and dipole moment surfaces of the triplet states of the O2(X3Σg−) − O2(X3Σg−,a1Δg,b",https://aip.scitation.org/doi/pdf/10.1063/1.4990661
aip.scitation.org,html_landing_page,10.1063/1.4998150,The ionic states of difluoromethane: A reappraisal of the low energy photoelectron spectrum includin,https://aip.scitation.org/doi/pdf/10.1063/1.4998150
aip.scitation.org,html_landing_page,10.1063/1.5092613,CASSCF linear response calculations for large open-shell molecules,https://aip.scitation.org/doi/pdf/10.1063/1.5092613
aip.scitation.org,html_landing_page,10.1063/5.0004835,Modern quantum chemistry with [Open]Molcas,https://aip.scitation.org/doi/pdf/10.1063/5.0004835
aip.scitation.org,html_landing_page,10.1063/5.0042147,CAS without SCF—Why to use CASCI and where to get the orbitals,https://aip.scitation.org/doi/pdf/10.1063/5.0042147
aip.scitation.org,html_landing_page,10.1063/5.0048146,Model protein excited states: MRCI calculations with large active spaces vs CC2 method,https://aip.scitation.org/doi/pdf/10.1063/5.0048146
aip.scitation.org,html_landing_page,10.1063/5.0055522,Software for the frontiers of quantum chemistry: An overview of developments in the Q-Chem 5 package,https://aip.scitation.org/doi/pdf/10.1063/5.0055522
aip.scitation.org,html_landing_page,10.1063/5.0112556,Multistate electronic quenching: Nonadiabatic pathways in NO A 2Σ+ + O2X 3Σg− scattering,https://aip.scitation.org/doi/pdf/10.1063/5.0112556
amu.hal.science,html_landing_page,10.1021/acs.jctc.5b00945,Probing the Photodynamics of Rhodopsins with Reduced Retinal Chromophores,https://amu.hal.science/hal-01409056
amu.hal.science,html_landing_page,10.1039/c8cp00657a,Ultrafast photochemistry of free-base porphyrin: a theoretical investigation of B → Q internal conve,https://amu.hal.science/hal-02079633
archive-ouverte.unige.ch,html_landing_page,10.1016/s0301-0104(96)00216-9,"Interstellar silicon-nitrogen chemistry. I. The microwave and the infrared signatures of the HSiN, H",https://archive-ouverte.unige.ch/unige:2814
archive-ouverte.unige.ch,html_landing_page,10.1021/acs.jpca.4c04148,Improving the Accuracy in the Prediction of Transition-Metal Spin-State Energetics Using a Robust Va,https://archive-ouverte.unige.ch/unige:184257
archive-ouverte.unige.ch,html_landing_page,10.1021/ic001355m,A Theoretical Study of the Structure of Tricarbonatodioxouranate,https://archive-ouverte.unige.ch/unige:3526
archive-ouverte.unige.ch,html_landing_page,10.1021/ic011076e,Coordination of the Neptunyl Ion with Carbonate Ions and Water:  A Theoretical Study,https://archive-ouverte.unige.ch/unige:3728
archive-ouverte.unige.ch,html_landing_page,10.1021/ja066615z,"Exploring the Actinide−Actinide Bond:  Theoretical Studies of the Chemical Bond in Ac<sub>2</sub>, T",https://archive-ouverte.unige.ch/unige:3636
archive-ouverte.unige.ch,html_landing_page,10.1021/jp012888z,On the Electronic Structure of the UO<sub>2</sub>Molecule,https://archive-ouverte.unige.ch/unige:3729
archive-ouverte.unige.ch,html_landing_page,10.1063/1.1710046,Comparison of density functionals for energy and structural differences between the high- [5T2g: (t2,https://archive-ouverte.unige.ch/unige:3615
archive-ouverte.unige.ch,html_landing_page,10.1063/1.470953,Interstellar silicon–nitrogen chemistry. III. The spectral signatures of the H2SiN+ molecular ion,https://archive-ouverte.unige.ch/unige:2968
archive-ouverte.unige.ch,html_landing_page,10.13097/archive-ouverte/unige:104838,"Computational chemistry studies of carbohydrates, fullerenes and other systems: molecular mechanics ",https://archive-ouverte.unige.ch/unige:104838
ars.els-cdn.com,html_landing_page,10.1016/j.comptc.2016.04.029,Ab initio multi-reference perturbation theory calculations of the ground and low-lying electronic st,https://ars.els-cdn.com/content/image/1-s2.0-S2210271X16301645-fx1_lrg.jpg
ars.els-cdn.com,html_landing_page,10.1016/j.comptc.2017.01.008,Ab initio multi-reference perturbation theory calculations of the ground and some excited electronic,https://ars.els-cdn.com/content/image/1-s2.0-S2210271X17300154-fx1_lrg.jpg
