doi,doi_link,title,year,host,oa_pdf_url,block_reason,openalex_key,detail
10.1002/chem.200600228,https://doi.org/10.1002/chem.200600228,Formation of Phosphaethyne Dimers: A Mechanistic Study,2006,(none),,no fetchable PDF and no Europe PMC full text,W1971437397,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1002/chem.201603640,https://doi.org/10.1002/chem.201603640,Observation of Slow Relaxation and Single‐Molecule Toroidal Behavior in a Family of Butterfly‐Shaped Ln<sub>4</sub> Complexes,2016,(none),,no fetchable PDF and no Europe PMC full text,W2550491543,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1002/jcc.24897,https://doi.org/10.1002/jcc.24897,Theoretical studies of spin state‐specific [2 + 2] and [5 + 2] photocycloaddition reactions of <i>n</i>‐(1‐penten‐5‐yl)maleimide,2017,(none),,no fetchable PDF and no Europe PMC full text,W2739675675,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1016/s0301-0104(02)00966-7,https://doi.org/10.1016/s0301-0104(02)00966-7,Thiazyl chloride: an experimental and theoretical study of the valence shell HeI photoelectron spectrum,2003,(none),,no fetchable PDF and no Europe PMC full text,W1975937059,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/acs.cgd.5c00236,https://doi.org/10.1021/acs.cgd.5c00236,Structural and Magnetic Studies of a Discrete Tetranuclear Complex Featuring an Oxalato-Bridged Ni3IICrIII Cluster,2025,(none),,unknown,W4412961281,
10.1021/acs.cgd.5c00337,https://doi.org/10.1021/acs.cgd.5c00337,"Tuning Self-Aggregation and Nuclearity in Multinuclear CoII Complexes: Synthesis, Structural Diversity, and Changes in Magnetic Anisotropy and Relaxation Behavior",2025,(none),,unknown,W4410603616,
10.1021/acs.cgd.5c01058,https://doi.org/10.1021/acs.cgd.5c01058,Regulation of Ligand Substitution in Mononuclear Dy/Gd Complexes: Slow Magnetic Relaxation and Magnetocaloric Effects,2025,(none),,unknown,W4415606929,
10.1021/acs.inorgchem.5c01823,https://doi.org/10.1021/acs.inorgchem.5c01823,Electronic Structure of Tetragonal Fe-Oxo Complexes Governs HAT vs PCET Mechanisms in C–H Oxidation,2025,(none),,unknown,W4412203161,
10.1021/acs.inorgchem.5c02059.s002,https://doi.org/10.1021/acs.inorgchem.5c02059.s002,Spectroscopicand Theoretical Studies of RutheniumComplexes with a Noninnocent N<sub>2</sub>S<sub>2</sub> Ligand inDifferent Redox States,2025,(none),,no OA PDF URL known,W7111139044,no OA URL in index
10.1021/acs.inorgchem.5c02481,https://doi.org/10.1021/acs.inorgchem.5c02481,Nanostructuring of Dysprosocenium Single-Ion Magnets through Encapsulation in MOFs: A Promising Approach to Achieve High Axiality and Ambient Stability with Long-Range Ordering,2025,(none),,unknown,W4413849878,
