Title,Author,Year,Citation count,Open access,DOI
Cheap and Near Exact CASSCF with Large Active Spaces,James E. T. Smith|Bastien Mussard|Adam Holmes|Sandeep Sharma,2017,217,Open Access,https://doi.org/10.1021/acs.jctc.7b00900
CASSCF with Extremely Large Active Spaces Using the Adaptive Sampling Configuration Interaction Method,Daniel S. Levine|Diptarka Hait|Norm M. Tubman|Susi Lehtola|K. Birgitta Whaley|Martin Head‐Gordon,2020,165,Open Access,https://doi.org/10.1021/acs.jctc.9b01255
Properties of the Emitting State of the Green Fluorescent Protein Resolved at the CASPT2//CASSCF/CHARMM Level,Adalgisa Sinicropi|Tadeusz Andruniów|Nicolas Ferré|Riccardo Basosi|Massimo Olivucci,2005,148,Open Access,https://doi.org/10.1021/ja045269n
Adenine deactivation in DNA resolved at the CASPT2//CASSCF/AMBER level,Irene Conti|Piero Altoè|Marco Stenta|Marco Garavelli|Giorgio Orlandi,2010,79,Open Access,https://doi.org/10.1039/b926608a
Second-order MCSCF optimization revisited. I. Improved algorithms for fast and robust second-order CASSCF convergence,David A. Kreplin|Peter J. Knowles|Hans‐Joachim Werner,2019,151,Open Access,https://doi.org/10.1063/1.5094644
Orbital entanglement and CASSCF analysis of the Ru–NO bond in a Ruthenium nitrosyl complex,Leon Freitag|Stefan Knecht|Sebastian Keller|Mickaël G. Delcey|Francesco Aquilante|Thomas Bondo Pedersen|Roland Lindh|Markus Reiher|Leticia González,2015,76,Open Access,https://doi.org/10.1039/c4cp05278a
Benchmarks for Electronically Excited States with CASSCF Methods,Benjamin Helmich‐Paris,2019,46,Open Access,https://doi.org/10.1021/acs.jctc.9b00325
"Oxidation state and covalency in f-element metallocenes (M = Ce, Th, Pu): a combined CASSCF and topological study",Andrew Kerridge,2013,104,Open Access,https://doi.org/10.1039/c3dt52279b
CASSCF linear response calculations for large open-shell molecules,Benjamin Helmich‐Paris,2019,47,Open Access,https://doi.org/10.1063/1.5092613
Spin-Pure Stochastic-CASSCF via GUGA-FCIQMC Applied\nto Iron–Sulfur Clusters,Werner Dobrautz|Oskar Weser|Nikolay A. Bogdanov|Ali Alavi|Giovanni Li Manni,2021,69,Open Access,https://doi.org/10.1021/acs.jctc.1c00589
Insights into the Complex Photophysics and Photochemistry of the Simplest Nitroaromatic Compound: A CASPT2//CASSCF Study on Nitrobenzene,Angelo Giussani|Graham A. Worth,2017,63,Open Access,https://doi.org/10.1021/acs.jctc.6b01149
Embedding Fragment ab Initio Model Potentials in CASSCF/CASPT2 Calculations of Doped Solids: Implementation and Applications,Ben Swerts|Liviu F. Chibotaru|Roland Lindh|Luis Seijo|Zoila Barandiarán|Sergiu Clima|Kristine Pierloot|Marc Hendrickx,2008,56,Open Access,https://doi.org/10.1021/ct7003148
"Excited States, Symmetry Breaking, and Unphysical Solutions in State-Specific CASSCF Theory",Antoine Marie|Hugh G. A. Burton,2023,36,Open Access,https://doi.org/10.1021/acs.jpca.3c00603
A CASSCF–MRCI study on the low-lying excited states of CH3OCl,Yumin Li|Joseph S. Francisco,1999,26,Open Access,https://doi.org/10.1063/1.480180
Fully variational incremental CASSCF,Duy‐Khoi Dang|Paul M. Zimmerman,2021,14,Open Access,https://doi.org/10.1063/5.0031208
"The Photophysics and Photochemistry of Phenylalanine, Tyrosine, and Tryptophan: A CASSCF/CASPT2 Study",Salmahaminati|Daniel Roca‐Sanjuán,2024,24,Open Access,https://doi.org/10.1021/acsomega.4c00875
Assessment of the Potential Energy Hypersurfaces in Thymine within Multiconfigurational Theory: CASSCF vs. CASPT2,Javier Segarra‐Martí|Antonio Francés‐Monerris|Daniel Roca‐Sanjuán|Manuela Merchán,2016,28,Open Access,https://doi.org/10.3390/molecules21121666
Photophysical properties and the NO photorelease mechanism of a ruthenium nitrosyl model complex investigated using the CASSCF-in-DFT embedding approach,Ana Paula de Lima Batista|Antonio G. S. de Oliveira‐Filho|Sérgio E. Galembeck,2017,35,Open Access,https://doi.org/10.1039/c7cp01642e
Potential energy surfaces of pseudoaromatic molecules: An MMVB and CASSCF study of pentalene,Michael J. Bearpark|Fernando Bernardi|Massimo Olivucci|Michael A. Robb,1996,22,Open Access,https://doi.org/10.1002/(sici)1097-461x(1996)60:1<505::aid-qua49>3.0.co;2-7
CASSCF and MRCI studies of the electronic excited states of CH2Cl and CH2Br,Yumin Li|Joseph S. Francisco,2001,20,Open Access,https://doi.org/10.1063/1.1346577
New insight into the potential energy landscape and relaxation pathways of photoexcited aniline from CASSCF and XMCQDPT2 electronic structure calculations,Matthieu Sala|Oliver M. Kirkby|S. Guérin|Helen H. Fielding,2014,36,Open Access,https://doi.org/10.1039/c3cp54418d
Excited State-Specific CASSCF Theory for the Torsion of Ethylene,Sandra Saade|Hugh G. A. Burton,2024,13,Open Access,https://doi.org/10.1021/acs.jctc.4c00212
An explanation of the very low fluorescence and phosphorescence in pyridine: a CASSCF/CASMP2 study,Panayiotis C. Varras|Panagiotis S. Gritzapis|Konstantina C. Fylaktakidou,2017,19,Open Access,https://doi.org/10.1080/00268976.2017.1371800
Photoinduced formation mechanism of the thymine–thymine (6–4) adduct in DNA; a QM(CASPT2//CASSCF):MM(AMBER) study,Angelo Giussani|Irene Conti|Artur Nenov|Marco Garavelli,2017,29,Open Access,https://doi.org/10.1039/c7fd00202e
MBE-CASSCF Approach for the Accurate Treatment of Large Active Spaces,Jonas Greiner|Ivan Giannì|Tommaso Nottoli|Filippo Lipparini|Janus J. Eriksen|Jürgen Gauß,2024,13,Open Access,https://doi.org/10.1021/acs.jctc.4c00388
Cost-Effective Treatment of Scalar Relativistic Effects for Multireference Systems: A CASSCF Implementation Based on the Spin-free Dirac–Coulomb Hamiltonian,Filippo Lipparini|Jürgen Gauß,2016,26,Open Access,https://doi.org/10.1021/acs.jctc.6b00609
A CASSCF study on the lowest ???* excitation of urocanic acid,Ari Lahti|Matti Hotokka|Kari Neuvonen|Gunnar Karlstr�m,1999,10,Open Access,https://doi.org/10.1002/(sici)1097-461x(1999)72:1<25::aid-qua3>3.0.co;2-z
Toward Understanding the Photochemistry of Photoactive Yellow Protein: A CASPT2/CASSCF and Quantum Theory of Atoms in Molecules Combined Study of a Model Chromophore in Vacuo,Pedro B. Coto|Daniel Roca‐Sanjuán|Luis Serrano‐Andrés|Ángel Martín Pendás|Sergio Martı́|Juán Andrés,2009,33,Open Access,https://doi.org/10.1021/ct900401z
Revisiting the Electronic Structure of Cobalt Porphyrin Nitrene and Carbene Radicals with NEVPT2-CASSCF Calculations: Doublet versus Quartet Ground States,Nicolaas P. van Leest|Bas de Bruin,2021,28,Open Access,https://doi.org/10.1021/acs.inorgchem.1c00910
On the photorelease of nitric oxide by nitrobenzene derivatives: A CASPT2//CASSCF model,Angelo Giussani|Graham A. Worth,2022,12,Open Access,https://doi.org/10.1063/5.0125460
<i>Ab initio</i> CASPT2//CASSCF study of the O(1D)+H2O(X 1A1) reaction,R. Sayós|Carolina Oliva|Miguel González,2001,17,Open Access,https://doi.org/10.1063/1.1408298
"Absorption and magnetic circular dichroism (MCD) studies of 1,4,5,8-naphthalenetetracarboxy diimides in terms of CASSCF method and FC theory",Mariusz Sterzel|Marcin Andrzejak|M. Pawlikowski|Jacek Gawroński,2004,16,Open Access,https://doi.org/10.1016/j.chemphys.2004.01.017
Photofragmentation of cyclobutanone at 200 nm: TDDFT vs CASSCF electron diffraction,Alberto Martín Santa Daría|Javier Hernández-Rodríguez|Lea M. Ibele|Sandra Gómez,2024,10,Open Access,https://doi.org/10.1063/5.0197895
DFT calculations on the allenyl Cope rearrangement of <i>syn</i>‐7‐allenylnorbornene: comparison with results obtained from CASSCF calculations,James A. Duncan|Marie C. Spong,2004,17,Open Access,https://doi.org/10.1002/poc.871
"Exact transformations of CI spaces, VB representations of CASSCF wavefunctions and the optimization of VB wavefunctions",Thorstein Thorsteinsson|David L. Cooper,1996,12,Open Access,https://doi.org/10.1007/s002140050178
State averaged CASSCF in AMOEBA polarizable water model for simulating nonadiabatic molecular dynamics with nonequilibrium solvation effects,Chenchen Song,2023,13,Open Access,https://doi.org/10.1063/5.0131689
The Role of Anisotropic Exchange in Single Molecule Magnets: A CASSCF/NEVPT2 Study of the Fe4 SMM Building Block [Fe2(OCH3)2(dbm)4] Dimer,Alessandro Lunghi|Federico Totti,2016,20,Open Access,https://doi.org/10.3390/inorganics4040028
Local Oxidation States in {FeNO} <sup>6–8</sup> Porphyrins: Insights from DMRG/CASSCF–CASPT2 Calculations,Quan Manh Phung|Ho Ngoc Nam|Abhik Ghosh,2023,14,Open Access,https://doi.org/10.1021/acs.inorgchem.3c03689
A SA-CASSCF and MS-CASPT2 study on the electronic structure of nitrosobenzene and its relation to its dissociation dynamics,Juan Soto|Daniel Peláez|Juan C. Otero,2021,12,Open Access,https://doi.org/10.1063/5.0033181
"Theoretical analysis of low‐lying charge transfer states in [Ru(X) (Me)(CO)<sub>2</sub>(Me‐DAB)] (XCl, I; DAB1,4‐diaza‐1,3‐butadiene) complexes by TDDFT and CASSCF/CASPT2 methods",Nadia Ben Amor|Stanislav Záliš|Chantal Daniel,2006,26,Open Access,https://doi.org/10.1002/qua.21041
Correction: Orbital entanglement and CASSCF analysis of the Ru–NO bond in a Ruthenium nitrosyl complex,Leon Freitag|Stefan Knecht|Sebastian Keller|Mickaël G. Delcey|Francesco Aquilante|Thomas Bondon Pedersen|Roland Lindh|Markus Reiher|Leticia González,2015,7,Open Access,https://doi.org/10.1039/c5cp90073e
NO Oxidation States in Nonheme Iron Nitrosyls: A DMRG-CASSCF Study of {FeNO}<sup>6–10</sup> Complexes,Quan Manh Phung|Ho Ngoc Nam|Vic Austen|Takeshi Yanai|Abhik Ghosh,2025,11,Open Access,https://doi.org/10.1021/acs.inorgchem.4c03845
A Polarizable QM/MM Model That Combines the State-Averaged CASSCF and AMOEBA Force Field for Photoreactions in Proteins,Chenchen Song|Lee‐Ping Wang,2024,9,Open Access,https://doi.org/10.1021/acs.jctc.4c00623
"Excited states of Nb3N2 and Nb3C2: Density functional theory, CASSCF, and MRCI studies",Matthew A. Addicoat|Gregory F. Metha,2009,6,Open Access,https://doi.org/10.1063/1.3122542
"CASSCF-based explicit ligand field models clarify the ground state electronic structures of transition metal phthalocyanines (MPc; M = Mn, Fe, Co, Ni, Cu, Zn)",Andrew Wallace|Bryce E. Williamson|Deborah L. Crittenden,2016,19,Open Access,https://doi.org/10.1139/cjc-2016-0264
Regiochemical memory in the adiabatic photolysis of thymine-derived oxetanes. A combined ultrafast spectroscopic and CASSCF/CASPT2 computational study,Alejandro Blasco-Brusola|Miriam Navarrete‐Miguel|Angelo Giussani|Daniel Roca‐Sanjuán|Ignacio Vayá|Miguel A. Miranda,2020,10,Open Access,https://doi.org/10.1039/d0cp03084h
Metastability of the low-lying electronic states of CBr2+: A CASSCF/MRCI study,Igor Araujo Lins|Antonio Ricardo Belinassi|Fernando R. Ornellas|Tiago Vinicius Alves,2017,5,Open Access,https://doi.org/10.1016/j.cplett.2017.05.061
A Polarizable CASSCF/MM Approach Using the Interface Between OpenMMPol Library and Cfour,Tommaso Nottoli|Mattia Bondanza|Filippo Lipparini|Benedetta Mennucci,2024,5,Open Access,https://doi.org/10.1002/jcc.27550
A CASSCF/MRCI study of the low‐lying electronic states of the BeS molecule,Antonio G. S. de Oliveira‐Filho|Tiago Vinicius Alves|V. W. Ribas|Luiz F. A. Ferrão|Orlando Roberto‐Neto|Francisco B. C. Machado|Fernando R. Ornellas,2010,4,Open Access,https://doi.org/10.1002/qua.22779
"State-averaged CASSCF with polarizable continuum model for studying photoreactions in solvents: Energies, analytical nuclear gradients, and non-adiabatic couplings",Chenchen Song,2022,11,Open Access,https://doi.org/10.1063/5.0085855
Photochemistry of 1-Phenyl-1-diazopropane and Its Diazirine Isomer: A CASSCF and MS-CASPT2 Study,Juan Soto,2022,8,Open Access,https://doi.org/10.1021/acs.jpca.2c04816
"Spin–Orbit Coupling and Admixture Coefficients in SA-CASSCF and MS-CASPT2, and Triplet Excitation Yield Simulated via Trajectory Surface Hopping and Calibrated SA-CASSCF in 1,2-Dioxetane Derivatives",Jian‐Ge Zhou|Yinan Shu,2025,4,Open Access,https://doi.org/10.1021/acs.jpca.4c04639
"A Reinvestigation of the Fragmentation of 2-Carbena-1,3-dioxolane by CASSCF and CASPT2 Calculations",Bong-Jin Hrovat Park,2004,4,Open Access,https://doi.org/10.5012/bkcs.2004.25.2.260
A cautionary tale: Problems in the valence-CASSCF description of the ground state (X1Σ+) of BF,Lu T. Xu|Thom H. Dunning,2020,6,Open Access,https://doi.org/10.1063/5.0024134
Exploring the Conical Intersection Seam in Cytosine: A DFT and CASSCF Study,Saadullah G. Aziz|Shaaban A. Elroby|Abdulrahman O. Al‐Youbi|Rifaat Hilal,2014,4,Open Access,https://doi.org/10.1016/j.procs.2014.05.125
Assessment of minimal active space CASSCF-SO methods for calculation of atomic Slater–Condon and spin–orbit coupling parameters in d- and f-block ions,Alvin J. Walisinghe|Nicholas F. Chilton,2021,9,Open Access,https://doi.org/10.1039/d1dt02346b
"Communication: Electronic UV-Vis transient spectra of the ·OH reaction products of uracil, thymine, cytosine, and 5,6-dihydrouracil by using the complete active space self-consistent field second-order perturbation (CASPT2//CASSCF) theory",Antonio Francés‐Monerris|Manuela Merchán|Daniel Roca‐Sanjuán,2013,16,Open Access,https://doi.org/10.1063/1.4818727
Recent applications of a QM/MM scheme at the CASPT2//CASSCF/AMBER (or CHARMM) level of theory in photochemistry and photobiology,Adalgisa Sinicropi|Riccardo Basosi|Massimo Olivucci,2008,7,Open Access,https://doi.org/10.1088/1742-6596/101/1/012001
"The electronic and vibrational structures of the vis–UV transitions in the 1,3-dicyanomethylene croconate anion in terms of CASSCF and DFT theory. The Franck–Condon analysis of 1→1 and 1→2 transitions",Marcin Makowski|M. Pawlikowski,2003,12,Open Access,https://doi.org/10.1016/s0009-2614(03)01039-x
Iron(II) Complexes with Porphyrin and Tetrabenzoporphyrin: CASSCF/MCQDPT2 Study of the Electronic Structures and UV–Vis Spectra by sTD-DFT,Alexey V. Eroshin|Andrey I. Koptyaev|Arseniy A. Otlyotov|Yury Minenkov|Yuriy A. Zhabanov,2023,6,Open Access,https://doi.org/10.3390/ijms24087070
A BSSE-corrected CASSCF/NEVPT2 procedure. An application to weakly bonded OH..<b><i>π</i></b>heterodimer complexes,Fanis Kalatzis|Ioannis N. Demetropoulos,2007,6,Open Access,https://doi.org/10.1080/00268970701604689
XMS-CASPT2//XMS-CASPT2 and XMS-CASPT2//CASSCF at comparison: The impact of dynamic correlation in the excited state optimization of nitronaphthalene,Angelo Giussani|Javier Segarra‐Martí,2024,5,Open Access,https://doi.org/10.1063/5.0203550
Excited-state methods based on state-averaged long-range CASSCF short-range DFT,Benjamin Helmich‐Paris|Erik Rosendahl Kjellgren|Hans Jørgen Aa. Jensen,2025,4,Open Access,https://doi.org/10.1039/d5cp00881f
A vibrational CASSCF study of stretch–bend interactions and their influence on infrared intensities in the water molecule,F. Culot|F. Laruelle|J. Liévin,1995,4,Open Access,https://doi.org/10.1007/s002140050122
CASSCF and MRMP2 investigation of the interaction of arsenic adatoms with carbon dimers on the diamond (100)-2 × 1 surface,Ana Paula de Lima Batista|Fernando R. Ornellas,2015,4,Open Access,https://doi.org/10.1016/j.susc.2015.06.018
On the structure of S<sub>4</sub><sup>2+</sup> and its formation from 2S<sub>2</sub><sup>+</sup><sub>•</sub><i>Ab</i> <i>initio</i> SCF and CASSCF studies,Mousumi Sannigrahi|Friedrich Grein,1994,13,Open Access,https://doi.org/10.1139/v94-046
Implementation of frozen density embedding in CP2K and OpenMolcas: CASSCF wavefunctions embedded in a Gaussian and plane wave DFT environment,Lukas Schreder|Sandra Luber,2024,4,Open Access,https://doi.org/10.1063/5.0222409
On the highest oxidation states of the actinoids in <scp>AnO<sub>4</sub></scp> molecules (An = Ac – Cm): A DMRG<scp>‐CASSCF</scp> study,Jun‐Bo Lu|Xue‐Lian Jiang|Jia‐Qi Wang|Han‐Shi Hu|W. H. Eugen Schwarz|Jun Li,2022,6,Open Access,https://doi.org/10.1002/jcc.26856
A quantum mechanical explanation of the structure of vinyl cation based on a CASSCF/CASMP2 study,Panayiotis C. Varras|Michael G. Siskos|Panagiotis S. Gritzapis,2019,2,Open Access,https://doi.org/10.1080/00268976.2019.1706778
"Electronic spectra of RMn(CO)3(α-diimine) (RH, CH3): a CASSCF/CCI comparative study of the lowest singlet excited states",Chantal Daniel|T. Matsubara|Gerard J. Stor,1994,5,Open Access,https://doi.org/10.1016/0010-8545(94)80025-1
The Franck–Condon and Dushinsky effects in the lowest energy 12B3u doublet of the tetracyanoquinodimethane (TCNQ) monoanion: the absorption and resonance Raman studies in terms of the density functional theory (DFT) and complete active space self-consistent field (CASSCF) methods,Marcin Makowski|M. Pawlikowski,2004,10,Open Access,https://doi.org/10.1016/j.cplett.2004.03.026
Photofragmentation of cyclobutanone at 200 nm: TD-DFT vs CASSCF electron diffraction,Alberto Martín Santa Daría|Javier Hernández-Rodríguez|Lea M. Ibele|Sandra Gómez,2024,2,Open Access,https://doi.org/10.48550/arxiv.2401.07597
Mechanisms of Laser-Induced Reactions of Stacked Benzene Molecules: A Semiclassical Dynamics Simulation and CASSCF Calculation,Kunxian Shu|Jie Zhao|Shuai Yuan|Yusheng Dou|Glenn V. Lo,2014,3,Open Access,https://doi.org/10.1155/2014/874102
"The vibronic structures of absorption and magnetic circular dichroism (MCD) in the low energy 11B2u and 11B3u states of 1,4,5,8-naphthalenetetracarboxy dianhydride. The analysis in terms of DFT and CASSCF methods",P. Zazakowny|M. Pawlikowski|Monika Sterzel,2009,6,Open Access,https://doi.org/10.1016/j.cplett.2009.03.001
A Two-Level Preconditioner for the CASSCF Linear-Response Equations,Benjamin Helmich‐Paris,2025,1,Open Access,https://doi.org/10.1021/acs.jpca.5c04385
An investigation on the electronic structures of diatomic VSi<sup>0/−/+</sup> clusters by CASSCF/CASPT2 method,Nguyen Minh Thao|Nguyễn Thị Hồng Hạnh|Tran Thanh Tuan|Tran Quoc Tri|Tran Van Tan,2018,2,Open Access,https://doi.org/10.1002/vjch.201800034
Local Oxidation States in {FeNO}6–8 Porphyrins: Insights from DMRG/CASSCF-CASPT2 Calculations,Quan Manh Phung|Ho Ngoc Nam|Abhik Ghosh,2023,2,Open Access,https://doi.org/10.26434/chemrxiv-2023-f7qnk
Thermostatistical SA-CASSCF for problems with more diabatic than adiabatic states,Seth Olsen,2014,1,Open Access,
Unveiling the photophysics of thiourea from CASPT2/CASSCF potential energy surfaces and singlet/triplet excited state molecular dynamics simulations,Neus Aguilera-Porta|Giovanni Granucci|J. A. Muñoz|Inés Corral,2019,3,Open Access,https://doi.org/10.1016/j.comptc.2019.01.026
Nitranion as intermediate in the decomposition of azides electrocatalytically synthesized. A CASSCF and CASPT2 study,Juan Soto,2025,1,Open Access,https://doi.org/10.1016/j.cplett.2025.142281
A Perturbative Super-CI Approach for orbital optimization in Two-Component relativistic CASSCF,Yang Guo|Achintya Kumar Dutta,2026,1,Open Access,https://doi.org/10.48550/arxiv.2603.03013
