key,doi,title,year,oa_pdf_url,source,status,pdf_path,text_path,updated
W2996644751,10.1021/acs.jctc.9b01255,CASSCF with Extremely Large Active Spaces Using the Adaptive Sampling Configuration Interaction Method,2020,https://arxiv.org/pdf/1912.08379,openalex,extracted,papers/mined/W2996644751.pdf,text/W2996644751.txt,2026-07-14T22:06:09Z
W2160052848,10.1063/1.2920188,The restricted active space followed by second-order perturbation theory method: Theory and application to the study of CuO2 and Cu2O2 systems,2008,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/1.2920188/13482411/204109_1_online.pdf,openalex,extracted,papers/mined/W2160052848.pdf,text/W2160052848.txt,2026-07-14T22:09:42Z
W2603410158,10.1039/c7cs00033b,Metal–organic and covalent organic frameworks as single-site catalysts,2017,europepmc:fullTextXML:10.1039/c7cs00033b,openalex,not_usable,,text/W2603410158.txt,2026-07-21T15:03:19Z
W2314654636,10.1021/jp205710e,Toward Accurate Theoretical Thermochemistry of First Row Transition Metal Complexes,2011,https://pubs.acs.org/doi/pdf/10.1021/jp205710e,openalex,not_usable,papers/mined/W2314654636.pdf,text/W2314654636.txt,2026-07-31T12:23:47Z
W2467783257,10.1021/acs.chemrev.6b00204,Photochemistry of Transition Metal Hydrides,2016,https://eprints.whiterose.ac.uk/id/eprint/103893/2/acs_2Echemrev_2E6b00204.pdf,openalex,not_usable,papers/mined/W2467783257.pdf,text/W2467783257.txt,2026-07-21T15:03:19Z
W2746979517,10.1021/acs.jctc.7b00900,Cheap and Near Exact CASSCF with Large Active Spaces,2017,https://arxiv.org/pdf/1708.07544,doi-import,extracted,papers/mined/W2746979517.pdf,text/W2746979517.txt,2026-07-21T15:22:13Z
W2945883321,10.1063/1.5094644,Second-order MCSCF optimization revisited. I. Improved algorithms for fast and robust second-order CASSCF convergence,2019,https://aip.scitation.org/doi/pdf/10.1063/1.5094644,doi-import,extracted_partial,papers/mined/W2945883321.pdf,text/W2945883321.txt,2026-07-21T15:18:50Z
W1965312230,10.1021/ja045269n,Properties of the Emitting State of the Green Fluorescent Protein Resolved at the CASPT2//CASSCF/CHARMM Level,2005,https://figshare.com/articles/journal_contribution/Properties_of_the_Emitting_State_of_the_Green_Fluorescent_Protein_Resolved_at_the_CASPT2_CASSCF_CHARMM_Level/3271249,supplied-full-text,not_usable,,,2026-08-11T14:14:17Z
W3197343847,10.1021/acs.jctc.1c00589,Spin-Pure Stochastic-CASSCF via GUGA-FCIQMC Applied\nto Iron–Sulfur Clusters,2021,https://arxiv.org/pdf/2106.07775,doi-import,extracted,papers/mined/W3197343847.pdf,text/W3197343847.txt,2026-07-21T15:05:41Z
W2607948809,10.1021/acs.jctc.6b01149,Insights into the Complex Photophysics and Photochemistry of the Simplest Nitroaromatic Compound: A CASPT2//CASSCF Study on Nitrobenzene,2017,https://doi.org/10.1021/acs.jctc.6b01149,doi-import,extracted,papers/mined/W2607948809.pdf,text/W2607948809.txt,2026-07-30T00:02:31Z
W2947767018,10.1021/acs.jctc.9b00325,Benchmarks for Electronically Excited States with CASSCF Methods,2019,europepmc:fullTextXML:10.1021/acs.jctc.9b00325,doi-import,extracted_partial,,text/W2947767018.txt,2026-07-21T15:26:34Z
W4368618061,10.1021/acs.jpca.3c00603,"Excited States, Symmetry Breaking, and Unphysical Solutions in State-Specific CASSCF Theory",2023,europepmc:fullTextXML:10.1021/acs.jpca.3c00603,doi-import,not_usable,,text/W4368618061.txt,2026-07-20T15:23:31Z
W4401353082,10.1021/acsomega.4c00875,"The Photophysics and Photochemistry of Phenylalanine, Tyrosine, and Tryptophan: A CASSCF/CASPT2 Study",2024,europepmc:fullTextXML:10.1021/acsomega.4c00875,doi-import,extracted,,text/W4401353082.txt,2026-07-21T15:25:00Z
W4399433893,10.1021/acs.jctc.4c00212,Excited State-Specific CASSCF Theory for the Torsion of Ethylene,2024,europepmc:fullTextXML:10.1021/acs.jctc.4c00212,doi-import,extracted_partial,,text/W4399433893.txt,2026-07-21T15:26:34Z
W2036873101,10.1039/c3dt52279b,"Oxidation state and covalency in f-element metallocenes (M = Ce, Th, Pu): a combined CASSCF and topological study",2013,https://pubs.rsc.org/en/content/articlepdf/2013/dt/c3dt52279b,doi-import,extracted,papers/mined/W2036873101.pdf,text/W2036873101.txt,2026-07-21T15:13:48Z
W2006018602,10.1039/b926608a,Adenine deactivation in DNA resolved at the CASPT2//CASSCF/AMBER level,2010,http://infoscience.epfl.ch/record/150325,doi-import,extracted,papers/mined/W2006018602.pdf,text/W2006018602.txt,2026-07-31T17:53:43Z
W2131618696,10.1039/c4cp05278a,Orbital entanglement and CASSCF analysis of the Ru–NO bond in a Ruthenium nitrosyl complex,2015,https://pubs.rsc.org/en/content/articlepdf/2015/cp/c4cp05278a,doi-import,extracted,papers/mined/W2131618696.pdf,text/W2131618696.txt,2026-07-15T17:43:45Z
W2002530679,10.1021/ct7003148,Embedding Fragment ab Initio Model Potentials in CASSCF/CASPT2 Calculations of Doped Solids: Implementation and Applications,2008,http://hdl.handle.net/10486/7368,doi-import,extracted,papers/mined/W2002530679.pdf,text/W2002530679.txt,2026-07-31T17:53:43Z
W2944258949,10.1063/1.5092613,CASSCF linear response calculations for large open-shell molecules,2019,https://aip.scitation.org/doi/pdf/10.1063/1.5092613,doi-import,extracted,papers/mined/W2944258949.pdf,text/W2944258949.txt,2026-07-29T04:23:02Z
W2074138336,10.1039/c3cp54418d,New insight into the potential energy landscape and relaxation pathways of photoexcited aniline from CASSCF and XMCQDPT2 electronic structure calculations,2014,https://pubs.rsc.org/en/content/articlepdf/2014/cp/c3cp54418d,doi-import,extracted,papers/mined/W2074138336.pdf,text/W2074138336.txt,2026-07-21T15:27:27Z
W2611031733,10.1039/c7cp01642e,Photophysical properties and the NO photorelease mechanism of a ruthenium nitrosyl model complex investigated using the CASSCF-in-DFT embedding approach,2017,http://dx.doi.org/10.1039/c7cp01642e,doi-import,extracted,,,2026-08-07T14:13:38Z
W2320303562,10.1021/ct900401z,Toward Understanding the Photochemistry of Photoactive Yellow Protein: A CASPT2/CASSCF and Quantum Theory of Atoms in Molecules Combined Study of a Model Chromophore in Vacuo,2009,http://hdl.handle.net/10651/35445,doi-import,extracted,papers/mined/W2320303562.pdf,text/W2320303562.txt,2026-07-30T20:15:32Z
W2765798707,10.1039/c7fd00202e,Photoinduced formation mechanism of the thymine–thymine (6–4) adduct in DNA; a QM(CASPT2//CASSCF):MM(AMBER) study,2017,https://hdl.handle.net/10550/106563,doi-import,extracted,papers/mined/W2765798707.pdf,text/W2765798707.txt,2026-07-31T18:20:41Z
W2560348368,10.3390/molecules21121666,Assessment of the Potential Energy Hypersurfaces in Thymine within Multiconfigurational Theory: CASSCF vs. CASPT2,2016,europepmc:fullTextXML:10.3390/molecules21121666,doi-import,extracted,,text/W2560348368.txt,2026-07-21T15:54:01Z
W3136346122,10.1021/acs.inorgchem.1c00910,Revisiting the Electronic Structure of Cobalt Porphyrin Nitrene and Carbene Radicals with NEVPT2-CASSCF Calculations: Doublet versus Quartet Ground States,2021,https://pure.uva.nl/ws/files/196072767/Revisiting_the_Electronic_Structure_of_Cobalt_Porphyrin_Nitrene.pdf,doi-import,not_usable,papers/mined/W3136346122.pdf,text/W3136346122.txt,2026-07-30T21:42:44Z
W2496860491,10.1021/acs.jctc.6b00609,Cost-Effective Treatment of Scalar Relativistic Effects for Multireference Systems: A CASSCF Implementation Based on the Spin-free Dirac–Coulomb Hamiltonian,2016,https://pubs.acs.org/doi/10.1021/acs.jctc.6b00609,doi-import,extracted,papers/mined/W2496860491.pdf,text/W2496860491.txt,2026-07-30T20:18:35Z
W2080032603,10.1002/(sici)1097-461x(1996)60:1<505::aid-qua49>3.0.co;2-7,Potential energy surfaces of pseudoaromatic molecules: An MMVB and CASSCF study of pentalene,1996,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/%28SICI%291097-461X%281996%2960%3A1%3C505%3A%3AAID-QUA49%3E3.0.CO%3B2-7,doi-import,extracted,papers/mined/W2080032603.pdf,text/W2080032603.txt,2026-07-31T18:45:46Z
W2535160901,10.1139/cjc-2016-0264,"CASSCF-based explicit ligand field models clarify the ground state electronic structures of transition metal phthalocyanines (MPc; M = Mn, Fe, Co, Ni, Cu, Zn)",2016,https://utoronto.scholaris.ca/bitstreams/61a70ca6-194b-47a6-9530-012402eb61ea/download,doi-import,extracted,papers/mined/W2535160901.pdf,text/W2535160901.txt,2026-07-21T15:52:24Z
W4389045718,10.1021/acs.inorgchem.3c03689,Local Oxidation States in {FeNO} <sup>6–8</sup> Porphyrins: Insights from DMRG/CASSCF–CASPT2 Calculations,2023,europepmc:fullTextXML:10.1021/acs.inorgchem.3c03689,doi-import,not_usable,,text/W4389045718.txt,2026-07-30T21:42:44Z
W4313439438,10.1063/5.0131689,State averaged CASSCF in AMOEBA polarizable water model for simulating nonadiabatic molecular dynamics with nonequilibrium solvation effects,2023,https://escholarship.org/content/qt7019q33j/qt7019q33j.pdf,doi-import,not_usable,papers/mined/W4313439438.pdf,text/W4313439438.txt,2026-07-21T18:25:41Z
W4393248043,10.1021/acs.jctc.4c00388,MBE-CASSCF Approach for the Accurate Treatment of Large Active Spaces,2024,https://arxiv.org/pdf/2403.17836,doi-import,extracted,papers/mined/W4393248043.pdf,text/W4393248043.txt,2026-07-21T18:35:09Z
W4308434679,10.1063/5.0125460,On the photorelease of nitric oxide by nitrobenzene derivatives: A CASPT2//CASSCF model,2022,https://roderic.uv.es/bitstreams/283b197f-cbf2-498a-840d-9a7cebc25435/download,doi-import,extracted,papers/mined/W4308434679.pdf,text/W4308434679.txt,2026-07-21T16:33:13Z
W4221069103,10.1063/5.0085855,"State-averaged CASSCF with polarizable continuum model for studying photoreactions in solvents: Energies, analytical nuclear gradients, and non-adiabatic couplings",2022,https://escholarship.org/uc/item/6ts400vj,doi-import,not_usable,papers/mined/W4221069103.pdf,text/W4221069103.txt,2026-07-30T20:20:24Z
W4406756952,10.1021/acs.inorgchem.4c03845,NO Oxidation States in Nonheme Iron Nitrosyls: A DMRG-CASSCF Study of {FeNO}<sup>6–10</sup> Complexes,2025,europepmc:fullTextXML:10.1021/acs.inorgchem.4c03845,doi-import,not_usable,,text/W4406756952.txt,2026-07-30T21:42:44Z
W4392863947,10.1063/5.0197895,Photofragmentation of cyclobutanone at 200 nm: TDDFT vs CASSCF electron diffraction,2024,https://hal.science/hal-05288229/document,doi-import,extracted,papers/mined/W4392863947.pdf,text/W4392863947.txt,2026-07-21T16:35:10Z
W4405736166,10.1002/jcc.27550,A Polarizable CASSCF/MM Approach Using the Interface Between OpenMMPol Library and Cfour,2024,europepmc:fullTextXML:10.1002/jcc.27550,doi-import,extracted_partial,,text/W4405736166.txt,2026-07-21T16:49:08Z
W2521374571,10.3390/inorganics4040028,The Role of Anisotropic Exchange in Single Molecule Magnets: A CASSCF/NEVPT2 Study of the Fe4 SMM Building Block [Fe2(OCH3)2(dbm)4] Dimer,2016,https://www.mdpi.com/2304-6740/4/4/28/pdf?version=1474536376,doi-import,extracted,papers/mined/W2521374571.pdf,text/W2521374571.txt,2026-07-30T20:16:48Z
W2756271345,10.1080/00268976.2017.1371800,An explanation of the very low fluorescence and phosphorescence in pyridine: a CASSCF/CASMP2 study,2017,https://figshare.com/articles/journal_contribution/An_explanation_of_the_very_low_fluorescence_and_phosphorescence_in_pyridine_a_CASSCF_CASMP2_study/5414566,supplied-full-text,extracted,,,2026-08-11T14:14:17Z
W3120060997,10.1063/5.0031208,Fully variational incremental CASSCF,2021,https://www.osti.gov/servlets/purl/1853774,doi-import,extracted,papers/mined/W3120060997.pdf,text/W3120060997.txt,2026-07-21T18:36:10Z
W4401210100,10.1021/acs.jctc.4c00623,A Polarizable QM/MM Model That Combines the State-Averaged CASSCF and AMOEBA Force Field for Photoreactions in Proteins,2024,https://escholarship.org/content/qt0766r05r/qt0766r05r.pdf?t=sicwe5,doi-import,extracted_partial,papers/mined/W4401210100.pdf,text/W4401210100.txt,2026-07-21T18:38:51Z
W2016813178,10.1002/qua.21041,"Theoretical analysis of low‐lying charge transfer states in [Ru(X) (Me)(CO)<sub>2</sub>(Me‐DAB)] (XCl, I; DAB1,4‐diaza‐1,3‐butadiene) complexes by TDDFT and CASSCF/CASPT2 methods",2006,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/qua.21041,doi-import,extracted,papers/mined/W2016813178.pdf,text/W2016813178.txt,2026-07-30T20:41:26Z
W1667779756,10.1063/1.1408298,<i>Ab initio</i> CASPT2//CASSCF study of the O(1D)+H2O(X 1A1) reaction,2001,https://aip.scitation.org/doi/pdf/10.1063/1.1408298,doi-import,extracted,papers/mined/W1667779756.pdf,text/W1667779756.txt,2026-07-29T03:55:05Z
W3121514598,10.1063/5.0033181,A SA-CASSCF and MS-CASPT2 study on the electronic structure of nitrosobenzene and its relation to its dissociation dynamics,2021,https://hdl.handle.net/10630/28345,supplied-full-text,extracted,,,2026-08-11T14:14:17Z
W4230199910,10.1007/s002140050178,"Exact transformations of CI spaces, VB representations of CASSCF wavefunctions and the optimization of VB wavefunctions",1996,https://doi.org/10.1007/s002140050178,doi-import,fetch_failed,,,2026-07-14T22:22:53Z
W3048651400,10.1039/d0cp03084h,Regiochemical memory in the adiabatic photolysis of thymine-derived oxetanes. A combined ultrafast spectroscopic and CASSCF/CASPT2 computational study,2020,https://pubs.rsc.org/en/content/articlepdf/2020/cp/d0cp03084h,doi-import,not_usable,papers/mined/W3048651400.pdf,text/W3048651400.txt,2026-07-21T18:25:20Z
W1626538226,10.1063/1.1346577,CASSCF and MRCI studies of the electronic excited states of CH2Cl and CH2Br,2001,https://pubs.aip.org/aip/jcp/article-pdf/114/7/2879/10834122/2879_1_online.pdf,doi-import,extracted,papers/mined/W1626538226.pdf,text/W1626538226.txt,2026-07-21T16:43:18Z
W1985896562,10.1002/poc.871,DFT calculations on the allenyl Cope rearrangement of <i>syn</i>‐7‐allenylnorbornene: comparison with results obtained from CASSCF calculations,2004,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/poc.871,doi-import,not_usable,papers/mined/W1985896562.pdf,text/W1985896562.txt,2026-07-31T12:23:47Z
W2060789838,10.1016/j.chemphys.2004.01.017,"Absorption and magnetic circular dichroism (MCD) studies of 1,4,5,8-naphthalenetetracarboxy diimides in terms of CASSCF method and FC theory",2004,https://ruj.uj.edu.pl/xmlui/handle/item/130702,doi-import,extracted,papers/mined/W2060789838.pdf,text/W2060789838.txt,2026-07-31T12:22:53Z
W2029366137,10.1002/(sici)1097-461x(1999)72:1<25::aid-qua3>3.0.co;2-z,A CASSCF study on the lowest ???* excitation of urocanic acid,1999,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/%28SICI%291097-461X%281999%2972%3A1%3C25%3A%3AAID-QUA3%3E3.0.CO%3B2-Z,doi-import,fetch_failed,,,2026-07-14T22:23:19Z
W1977107917,10.1039/c5cp90073e,Correction: Orbital entanglement and CASSCF analysis of the Ru–NO bond in a Ruthenium nitrosyl complex,2015,https://pubs.rsc.org/en/content/articlepdf/2015/cp/c5cp90073e,doi-import,not_usable,papers/mined/W1977107917.pdf,text/W1977107917.txt,2026-07-21T15:52:24Z
