key,doi,year,title,index_status,si_category,si_needed_for,si_fetch_attempted,si_fetch_result,rows_in_aimdb,rows_without_active_space,evidence
W2794110203,10.1002/chem.201705957,2018,"Ligand‐ and Metal‐Based Reactivity of a Neutral Ruthenium Diolefin Diazadiene Complex: The Innocent, the Guilty and the Suspicious",not_usable,blocked_no_rows,"active space size (nel,norb) — stated only in SI, which could not be fetched; paper yielded no rows",yes,0 files,0,0,"Neutral Ru diolefin diazadiene complex reactivity paper. Singlet-state CASSCF calculations were run on complexes 2 and 2'thf to assess open-shell-singlet vs closed-shell-singlet character, finding the closed-shell singlet dominant with a significant ~8-16% open-shell-singlet [d7-RuI(trop2dad radical)] contribution. However, the CASSCF active space size (nel,norb) is never stated in the main text -"
W2887120748,10.1039/c8sc01361f,2018,Metal–ligand pair anisotropy in a series of mononuclear Er–COT complexes,not_usable,blocked_no_rows,"active space size (nel,norb) — stated only in SI, which could not be fetched; paper yielded no rows",yes,0 files,0,0,"Er-COT single-ion magnets with substantial CASSCF results (g-tensors, Kramers doublet spectra, Ueff 95.6-133.6 cm-1), but the active space is never specified anywhere in the main text (only 'CASSCF methods, MOLCAS 8.0') and no SI could be retrieved via figshare or PMC. Per policy, a paper whose active space is never stated is not usable; inferring the conventional Er(III) 4f (11,7) space would vio"
W2918449331,10.1039/c9dt00628a,2019,"Rhodium( <scp>i</scp> ) complexes with carborane-substituted <i>P</i> , <i>N</i> ligands: investigations of electronic structure and dynamic behaviour",not_usable,blocked_no_rows,"active space size (nel,norb) — stated only in SI, which could not be fetched; paper yielded no rows",yes,0 files,0,0,"Two distorted square-planar Rh(I) carborane-phosphine complexes characterized by CASSCF-NEVPT2 plus UV-vis/NMR. The calculations assign the MLCT bands (d-pi* transitions to aromatic acceptor orbitals in 1, d-sigma* to P-C/P-S in 2), but the CASSCF-NEVPT2 active space is never stated in the extractable main text - no (nel,norb), no explicit orbital-composition specification (only interpretive 'd or"
W2991499854,10.1039/c9sc03133b,2019,Design of high-temperature <i>f</i> -block molecular nanomagnets through the control of vibration-induced spin relaxation,not_usable,blocked_no_rows,"active space size (nel,norb) — stated only in SI, which could not be fetched; paper yielded no rows",yes,0 files,0,0,"Vibronic-coupling method paper for f-block SIMs ([U(Cpttt)2]+ and UTp3). CASSCF is used only as an input step to fit REC crystal-field parameters; no active space is stated anywhere in the main text and all computational details are deferred to the ESI, which could not be retrieved via figshare or PMC."
W3048651400,10.1039/d0cp03084h,2020,Regiochemical memory in the adiabatic photolysis of thymine-derived oxetanes. A combined ultrafast spectroscopic and CASSCF/CASPT2 computational study,not_usable,blocked_no_rows,"active space size (nel,norb) — stated only in SI, which could not be fetched; paper yielded no rows",yes,0 files,0,0,"Real applied CASSCF/CASPT2 study of thymine-derived oxetanes (HH-1/HT-1) but all computational details are deferred to the ESI; active space size (nel,norb) never stated anywhere in the main text and 'si' command found no SI via figshare or PMC. No active space = not usable per policy."
W3166527348,10.26434/chemrxiv.14781855.v1,2021,[Co(TPP)]–Catalyzed Carbene Transfer from Acceptor–Acceptor Iodonium Ylides via N-enolate Carbene Radicals,not_usable,blocked_no_rows,"active space size (nel,norb) — stated only in SI, which could not be fetched; paper yielded no rows",yes,0 files,0,0,"[Co(TPP)]-catalyzed carbene transfer study. NEVPT2-CASSCF calculations are reported on the IT and IE-T carbene-radical intermediates and their conclusions are stated (doublet ground state, no significant multireference character), but every computational parameter is deferred to the Supporting Information: the active space, basis and program for the multireference part appear nowhere in the deposi"
W3202474684,10.26434/chemrxiv.12403124.v1,2020,Breaching the Axial Limits in Ln(III) Single-Ion Magnets Using External Electric Field,not_usable,blocked_no_rows,"active space size (nel,norb) — stated only in SI, which could not be fetched; paper yielded no rows",yes,0 files,0,0,"ChemRxiv preprint on oriented-external-electric-field tuning of Ln(III) SIMs. Genuinely a CASSCF/RASSI-SO/SINGLE_ANISO study of real complexes ([Dy(Py)5(OtBu)2]+, [Er{N(SiMe3)2}3Cl]-, [Dy(CpMe3)Cl]) with Ucal values reported, but the deposited PDF has no computational-details section — it defers to an ESI that is not in the file, and a figshare/PMC SI fetch returned nothing. No active space, basis"
W4296032718,10.1021/acs.jctc.2c00630,2022,Large-Scale Benchmarking of Multireference Vertical-Excitation Calculations via Automated Active-Space Selection,not_usable,blocked_no_rows,"active space size (nel,norb) — stated only in SI, which could not be fetched; paper yielded no rows",no,not attempted,0,0,"Large-scale benchmark of MC-PDFT/NEVPT2 over the 542 vertical excitations of QUESTDB using the APC ranked-orbital automated active-space selection scheme. No row is extractable: the main text reports only aggregate statistics (mean absolute errors by active space and basis: SA-CASSCF ~0.39 +/- 0.03 eV once poor spaces are filtered), never a specific compound paired with a specific active space - t"
W4392197861,10.26434/chemrxiv-2024-n74xl,2024,Achieving Ambient Stability and Suppressing Spin-Phonon Coupling in Dyprosocenium SIMs via MOF Encapsulation,not_usable,blocked_no_rows,"active space size (nel,norb) — stated only in SI, which could not be fetched; paper yielded no rows",yes,0 files,0,0,"ChemRxiv preprint on MOF encapsulation of a dysprosocenium SIM. CASSCF/RASSI-SO/SINGLE_ANISO in MOLCAS 8.2 with Ucal values (1390.9 and 1399.6 cm-1) reported, but the active space is never stated: the text points to 'see computational details' and that section is in an ESI not included in the deposited PDF; a figshare/PMC SI fetch returned nothing."
W4416322572,10.2139/ssrn.5766207,2025,Axial Dy–O–Si Bond Angle Manipulation: An Avenue for Switching Single Molecule Magnet Performance,not_usable,blocked_no_rows,"active space size (nel,norb) — stated only in SI, which could not be fetched; paper yielded no rows",yes,0 files,0,0,"SSRN preprint on axial Dy-O-Si bond-angle manipulation in SMMs. Genuine CASSCF/SINGLE_ANISO work in OpenMolcas with computed Ueff of 376.5 and 388.4 cm-1 and ground-KD mJ = +/-15/2, gz ~ 20.000 — but the main text says only 'with the details shown in Supporting Information', and that SI is not in the deposited PDF; a figshare/PMC SI fetch returned nothing. Active space, basis and root counts are s"
