file,category,reason,location
00_oppel.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/00_oppel.pdf
01_kap1.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/01_kap1.pdf
02_kap2.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/02_kap2.pdf
03_kap3.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/03_kap3.pdf
04_kap4.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/04_kap4.pdf
05_kap5.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/05_kap5.pdf
06_kap6.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/06_kap6.pdf
07_kap7.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/07_kap7.pdf
08_kap8.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/08_kap8.pdf
09_kap9.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/09_kap9.pdf
10_literatur.pdf,thesis-chapters,"Oppel dissertation (HNO3 photodissociation, German) split across 11 chapter files; no DOI, and a thesis split by chapter cannot be indexed as one paper",papers/unindexed/thesis-chapters/10_literatur.pdf
arturo_sauza_de_la_vega_PhD_Thesis.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/arturo_sauza_de_la_vega_PhD_Thesis.pdf
dissertation.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/dissertation.pdf
dissertation_singh_gurjot.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/dissertation_singh_gurjot.pdf
khoidang_1.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/khoidang_1.pdf
King_uchicago_0330D_17363.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/King_uchicago_0330D_17363.pdf
Li-S-2011-PhD-Thesis.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/Li-S-2011-PhD-Thesis.pdf
Miranda_LuizCunhaDe_M.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/Miranda_LuizCunhaDe_M.pdf
mondal_arobendo.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/mondal_arobendo.pdf
Pradhan_Ekadashi_201601_PhD.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/Pradhan_Ekadashi_201601_PhD.pdf
Shee_columbia_0054D_15484.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/Shee_columbia_0054D_15484.pdf
thesis.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/thesis.pdf
thesis_28899.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/thesis_28899.pdf
thesis_42935.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/thesis_42935.pdf
thesis_45052.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/thesis_45052.pdf
thesis_49191.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/thesis_49191.pdf
Wang_Zhibo_201908_MSc.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/Wang_Zhibo_201908_MSc.pdf
Wong_Stephanie_Fall-202013.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/Wong_Stephanie_Fall-202013.pdf
Μ.Ε. ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ ΣΩΚΡΑΤΗΣ 2018.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/Μ.Ε. ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ ΣΩΚΡΑΤΗΣ 2018.pdf
Μ.Ε. ΜΑΚΡΗΣ ΠΑΝΑΓΙΩΤΗΣ 2019.pdf,theses,"PhD/MSc thesis with no DOI found in title or colophon pages; reference_doi is mandatory for an aimdb row, so these cannot yield rows as-is",papers/unindexed/theses/Μ.Ε. ΜΑΚΡΗΣ ΠΑΝΑΓΙΩΤΗΣ 2019.pdf
978-3-031-51443-2.pdf,books,"Springer book (700+ pages, own DOI but a whole volume, not a paper with a single active space)",papers/unindexed/books/978-3-031-51443-2.pdf
978-3-319-30916-3.pdf,books,"Springer book (700+ pages, own DOI but a whole volume, not a paper with a single active space)",papers/unindexed/books/978-3-319-30916-3.pdf
revised_si.pdf,si-unmatched,Supporting-information document whose parent paper could not be identified from its text or via OpenAlex,papers/unindexed/si-unmatched/revised_si.pdf
SupportingInformation.pdf,si-unmatched,Supporting-information document whose parent paper could not be identified from its text or via OpenAlex,papers/unindexed/si-unmatched/SupportingInformation.pdf
Lomas_2025_J._Phys._B__At._Mol._Opt._Phys._58_015202.pdf,unresolved-doi,DOI present but truncated in the text layer and not resolvable by title search,papers/unindexed/unresolved-doi/Lomas_2025_J._Phys._B__At._Mol._Opt._Phys._58_015202.pdf
Alberto mora Teledry (3).pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/Alberto mora Teledry (3).pdf
