audited_on,entry_id,reference_doi,mining_model,documented_read_depth,source_status,source_match_method,source_match_confidence,active_pair_text_evidence,filled_substantive_fields,missing_core_fields,schema_issues,audit_action
2026-08-11,W2996644751-a,10.1021/acs.jctc.9b01255,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,20,,,source_evidence_and_completeness_pass
2026-08-11,W2160052848-a,10.1063/1.2920188,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,not_machine_located,18,software,,manual_source_reread_needed
2026-08-11,W2160052848-b,10.1063/1.2920188,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,located,15,software,,manual_source_reread_needed
2026-08-11,W2160052848-c,10.1063/1.2920188,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,located,15,software,,manual_source_reread_needed
2026-08-11,W2069560102-b,10.1063/1.2883976,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,19,,,source_evidence_and_completeness_pass
2026-08-11,W2069560102-c,10.1063/1.2883976,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,19,,,source_evidence_and_completeness_pass
2026-08-11,W2069560102-d,10.1063/1.2883976,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,19,,,source_evidence_and_completeness_pass
2026-08-11,W2069560102-e,10.1063/1.2883976,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,19,,,source_evidence_and_completeness_pass
2026-08-11,W2069560102-f,10.1063/1.2883976,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,19,,,source_evidence_and_completeness_pass
2026-08-11,W2069560102-a,10.1063/1.2883976,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,19,,,source_evidence_and_completeness_pass
2026-08-11,W2794279393-a,10.1021/acs.jpclett.8b00684,claude-opus-4-8,source_read_documented,exact_doi_text,doi,medium,not_machine_located,15,active_space_orbital_description;basis_set,,manual_source_reread_needed
2026-08-11,W2085525001-a,10.1063/1.451610,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,not_applicable,17,active_space_nel;active_space_norb;software,,manual_source_reread_needed
2026-08-11,W2085525001-b,10.1063/1.451610,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,not_applicable,16,active_space_nel;active_space_norb;software,,manual_source_reread_needed
2026-08-11,W2085525001-c,10.1063/1.451610,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,not_applicable,16,active_space_nel;active_space_norb;software,,manual_source_reread_needed
2026-08-11,W2527752769-a,10.1039/c6sc03621j,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,18,basis_set,,source_recovery_needed
2026-08-11,W2099962686-a,10.1039/c1cp22239b,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,15,,,source_recovery_needed
2026-08-11,W2099962686-b,10.1039/c1cp22239b,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,15,,,source_recovery_needed
2026-08-11,W2099962686-c,10.1039/c1cp22239b,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,15,,,source_recovery_needed
2026-08-11,W2099962686-d,10.1039/c1cp22239b,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,14,,,source_recovery_needed
2026-08-11,W2099962686-e,10.1039/c1cp22239b,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,14,,,source_recovery_needed
2026-08-11,W2099962686-f,10.1039/c1cp22239b,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,14,,,source_recovery_needed
2026-08-11,W2787329441-a,10.1039/c7cp08472b,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,12,basis_set;software,,source_recovery_needed
2026-08-11,W2886362076-a,10.1039/c8sc03569e,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,17,software,,source_recovery_needed
2026-08-11,W2886362076-b,10.1039/c8sc03569e,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,17,software,,source_recovery_needed
2026-08-11,W2886362076-c,10.1039/c8sc03569e,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,17,software,,source_recovery_needed
2026-08-11,W2886362076-d,10.1039/c8sc03569e,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,17,software,,source_recovery_needed
2026-08-11,W2886362076-e,10.1039/c8sc03569e,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,17,software,,source_recovery_needed
2026-08-11,W2886362076-f,10.1039/c8sc03569e,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,17,software,,source_recovery_needed
2026-08-11,W2062963396-a,10.1371/journal.pcbi.1000034,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,located,15,,,source_evidence_and_completeness_pass
2026-08-11,W2131618696-a,10.1039/c4cp05278a,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,17,,,source_recovery_needed
2026-08-11,W2267960904-a,10.1021/acs.inorgchem.5b01505,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,18,basis_set;software,,manual_source_reread_needed
2026-08-11,W2267960904-b,10.1021/acs.inorgchem.5b01505,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,18,basis_set;software,,manual_source_reread_needed
2026-08-11,W2267960904-c,10.1021/acs.inorgchem.5b01505,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,18,basis_set;software,,manual_source_reread_needed
2026-08-11,W2267960904-d,10.1021/acs.inorgchem.5b01505,claude-opus-4-8,source_read_documented,exact_doi_text,index_key,high,located,18,basis_set;software,,manual_source_reread_needed
2026-08-11,W2534966425-a,10.1039/c6dt03752f,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,located,22,,,source_evidence_and_completeness_pass
2026-08-11,W2534966425-b,10.1039/c6dt03752f,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,located,22,,,source_evidence_and_completeness_pass
2026-08-11,W2080870617-a,10.1063/1.481234,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,located,15,software,,manual_source_reread_needed
2026-08-11,W2114888214-a,10.1039/c5sc02342d,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,17,,,source_recovery_needed
2026-08-11,W2019980491-a,10.1039/c3ra22712j,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,17,,,source_recovery_needed
2026-08-11,W2899607422-a,10.1039/c8sc02599a,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,15,basis_set;software,,source_recovery_needed
2026-08-11,W2117343091-a,10.1039/c3cp51617b,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,located,17,,,source_evidence_and_completeness_pass
2026-08-11,W2117343091-b,10.1039/c3cp51617b,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,located,16,,,source_evidence_and_completeness_pass
2026-08-11,W2117343091-c,10.1039/c3cp51617b,claude-opus-4-8,source_read_documented,exact_doi_text,doi,high,located,17,,,source_evidence_and_completeness_pass
2026-08-11,W2031310230-a,10.1039/c5cp00101c,claude-opus-4-8,source_read_documented,unavailable,,,source_unavailable,14,active_space_orbital_description;software,,source_recovery_needed
