doi,open_access,oa_status,oa_url,openalex_id,checked
10.1002/(sici)1097-461x(1996)60:1<505::aid-qua49>3.0.co;2-7,yes,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/%28SICI%291097-461X%281996%2960%3A1%3C505%3A%3AAID-QUA49%3E3.0.CO%3B2-7,W2080032603,2026-08-08T00:16:47Z
10.1002/(sici)1097-461x(2000)77:6<961::aid-qua4>3.0.co;2-a,no,closed,,W2041299220,2026-08-08T00:16:47Z
10.1002/1097-461x(2000)80:4/5<623::aid-qua11>3.0.co;2-0,no,closed,,W1994925141,2026-08-08T00:16:47Z
10.1002/adfm.202507144,yes,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202507144,W4410310622,2026-08-08T00:16:47Z
10.1002/adom.202402765,no,closed,,W4405501771,2026-08-08T00:16:47Z
10.1002/advs.75759,yes,gold,https://doi.org/10.1002/advs.75759,W7161785735,2026-08-08T00:16:47Z
10.1002/advs.76249,yes,gold,https://doi.org/10.1002/advs.76249,W7165544852,2026-08-08T00:16:47Z
10.1002/ange.201903681,yes,green,http://urn.fi/URN:NBN:fi:jyu-201908223873,W4240227765,2026-08-08T00:16:47Z
10.1002/ange.202017078,yes,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ange.202017078,W3128393528,2026-08-08T00:16:47Z
10.1002/ange.202102218,yes,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ange.202102218,W3167707510,2026-08-08T00:16:47Z
10.1002/anie.202011337,yes,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202011337,W3119347909,2026-08-08T00:16:47Z
10.1002/anie.202017078,yes,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202017078,W3122506581,2026-08-08T00:16:47Z
10.1002/anie.202102218,yes,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202102218,W3155781487,2026-08-08T00:16:47Z
10.1002/anie.202103596,yes,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202103596,W3138622994,2026-08-08T00:16:47Z
10.1002/anie.202207415,yes,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202207415,W4281709712,2026-08-08T00:16:47Z
