entry_id,structure_file,structure_provenance,compound_name,system_class,formula,metal_center,metal_ox_state,d_electron_count,ligand_set,point_group,geometry_source,method,software,basis_set,relativistic_treatment,soc_included,ss_included,active_space_nel,active_space_norb,active_space_orbital_description,active_space_protocol,multiplicities_studied,nroots_per_mult,ground_state_mult,electronic_structure_description,Other,reference_short,reference_doi,year,notes,correlation_correction,entry_type,mining_model,open_access,removed_reason,removed_at
W3022605196-a,,,planar cis-[MA2B2] transition-metal complexes (Cu(II) example; ligand-field d-orbital energy study),molecule,,Cu,II,3d9,planar cis-[MA2B2] (two pairs of cis monodentate ligands),,,CASSCF/NEVPT2 + ab initio ligand-field theory (AILFT) to derive first-principles d-orbital energy expressions for planar complexes,ORCA (AILFT),,,,,,,the metal d orbitals (AILFT maps the CASSCF/NEVPT2 states onto a ligand-field d-manifold),d-only CAS via the AILFT procedure on CASSCF/NEVPT2 states; the study derives that planar complexes show large dxz/dyz splitting,2,,2,,first-principles ligand-field d-orbital energy expressions for planar cis-[MA2B2]; large dxz/dyz splitting is the key finding,"Ligand Field Theory for Planar Complexes: First Principles, Eur. J. Inorg. Chem. (2020)",10.1002/ejic.202000143,2020,"Mined from OA text by claude-casscf-data_mining. Semi-methodological (AILFT d-orbital expressions) but grounded in CASSCF/NEVPT2 on real planar Cu(II) complexes; d-only active space, nel not explicitly stated -> left empty.",NEVPT2,llm_mining,claude-opus-4-8,yes,"'planar cis-[MA2B2]' - MA2B2 is a placeholder formula, not a compound",2026-08-19T18:17:28+00:00
W3203446879-a,,,"Free d- and f-block metal ions (3d, 4d and 5d transition metal ions in various oxidation states, and trivalent lanthanide ions), assessed as a minimal-active-space reference set",molecule,,"3d, 4d and 5d transition metals and trivalent f-block ions (Eu(III), Gd(III) and Tb(III) excluded for cost)","various, spanning the common oxidation states of each block; trivalent for the f-block ions",all dn configurations for the transition metal ions and all fn configurations for the trivalent lanthanides,none (free ions),spherical symmetry enforced with the ATOM supersymmetry keyword for the optimized atomic orbitals,"free ions, no geometry","minimal active space CASSCF-SO: state-averaged CASSCF followed by state interaction with spin-orbit coupling; MS-CASPT2 and XMS-CASPT2 additionally performed for Co(II) and Pr(III) to show the effect of dynamic correlation; results recast into Slater-Condon and spin-orbit coupling parameters in the Russell-Saunders basis and compared with experiment, AILFT and ligand-field DFT",OpenMolcas,ANO-RCC-VQZP,scalar relativistic Hamiltonian (two-component decoupling of the four-component Dirac Hamiltonian) with atomic mean-field integrals (AMFI) for the spin-orbit Hamiltonian,yes,,,5,"the minimal active space: n electrons in the five d orbitals for the d-block, or n electrons in the seven f orbitals for the f-block, where n is the dn or fn configuration of the ion","minimal active space, (n,5) for d-block ions and (n,7) for f-block ions, state-averaged over all possible roots for every spin multiplicity of the given configuration; (X)MS-CASPT2 on all SA-CASSCF roots with an imaginary shift of 0.1 for the Co(II) and Pr(III) comparisons",all possible spin multiplicities of each dn or fn configuration,all roots of each configuration and multiplicity,,,"This is the reference assessment of when the ubiquitous minimal active space is good enough. Spin-orbit coupling constants: reproduced to within about 200 cm-1 of experimentally derived values, which is usually under 10 percent error for 4dn, 5dn and 4fn configurations but up to 30 percent for 3dn; the abstract-level summary is overestimation by 5-30 percent for 3d ions, within plus or minus 10 percent for 4d and 5d ions, and overestimation by 2-10 percent for trivalent 4f ions. Slater-Condon parameters are typically overestimated by 20-50 percent (with some 3d outliers underestimated by 1-20 percent) because of the missing dynamic correlation, so the authors explicitly do not recommend minimal active space CASSCF-SO where accurate term excitation energies are needed, and recommend CASPT2 or NEVPT2 instead for quantitative work. The Slater-Condon error is systematic for divalent 4d and trivalent 4f ions, so simple scaling may be viable there when resources are limited, but this does not hold for 3d ions. The spin-orbit coupling constant varies quadratically with atomic number Z at fixed dn configuration, and also for the trivalent lanthanides even though the configuration changes with Z; SOC detail: yes, spin-orbit coupling introduced by state interaction after variational spin-free orbital optimization","Walisinghe and Chilton, Assessment of minimal active space CASSCF-SO methods for calculation of atomic Slater-Condon and spin-orbit coupling parameters in d- and f-block ions, Dalton Trans. 50, 14130 (2021)",10.1039/d1dt02346b,2021,"Mined from OA text by claude-casscf-data_mining. Free ions rather than coordination compounds, and covering many ions at once, so this is entered as a single reference row rather than one row per ion; active_space_nel is left empty because it varies with the ion. Directly relevant to active-space selection: it quantifies the accuracy ceiling of the (n,5)/(n,7) minimal space that underpins most single_aniso and AILFT work on real complexes. Full-database schema audit (GPT-5.6, 2026-08-11): normalized verbose SOC/SS flags to yes/no and retained the original wording in Other.",CASPT2,llm_mining,claude-opus-4-8,yes,"names only element blocks ('free d- and f-block metal ions'), no species",2026-08-19T18:17:28+00:00
W3215419071-a,,,"HAB79 dataset - 79 conjugated organic molecules in 921 dimer configurations, electronic couplings",molecule,,none,,,,,921 structurally diverse dimer configurations built from 79 molecules commonly used in organic (opto)electronics,NEVPT2 on a state-averaged CASSCF reference (averaged over two doublet states per dimer); MRCI+Q with a larger reference space for validation,ORCA 4.2.0,aug-cc-pVTZ for the reference calculations; aug-cc-pVDZ also used,,no,,3,2,"minimal active space of two orbitals with three electrons for p-type (hole) carriers, or two orbitals with one electron for n-type (electron) carriers","Deliberately minimal because of system size: two orbitals holding three electrons (p-type) or one electron (n-type), state-averaged over two doublet states per dimer. Validated against MRCI+Q with a substantially larger CAS(11,10) reference in C2v (aug-cc-pVTZ, 9 frozen-core electrons) on a distance scan; the authors had previously shown MRCI+Q with a large CASSCF space matches full CI, and that NEVPT2 gives couplings with small mean relative unsigned error, so the minimal space is presented as a robust reference method for large molecules.",2 (doublets),two doublet states averaged per dimer,2,"Electronic couplings for charge transport in organic semiconductors. Couplings are largest for cofacial dimers, particularly sulfur-containing ones. The methodological claim is that CASSCF/NEVPT2 with a minimal (3,2)/(1,2) active space is a robust and affordable reference for molecules too large for larger spaces, benchmarked against MRCI+Q with a CAS(11,10) reference.",,"HAB79: A new molecular dataset for benchmarking DFT and DFTB electronic couplings against high-level ab initio methods, J. Chem. Phys. (2021)",10.1063/5.0076010,2021,"Mined from a PDF supplied by hand (automated OA fetch had failed). Metal-free organic dataset. Recorded as a benchmark-set row: the value here is the documented adequacy of a minimal (3,2) active space for electronic couplings, validated against a CAS(11,10) MRCI+Q reference.",NEVPT2; MRCI,llm_mining,claude-opus-5,yes,HAB79 dataset label,2026-08-19T18:17:28+00:00
W4282963918-a,,,QUESTDB benchmark database - 542 vertical excitation energies with automated APC active-space selection,molecule,,none,,,,reduced to the highest available symmetry implementable for each molecule,QUESTDB benchmark geometries,"state-averaged CASSCF with MC-PDFT (tPBE) and NEVPT2, using automated entropy-ranked active-space selection",PySCF,"aug-cc-pVTZ, cc-pVTZ, cc-pVDZ",,no,,12,12,"Automated 'max(n,m)' spaces capped by a maximum CSF count: max(4,4) (N_max_CSF = 20), max(5,5), max(12,12) and others. Orbitals are ranked by occupancy and entropy pairs (n_j, S_j) and pruned until the CSF count falls under the cap.","Approximate pair-coefficient (APC) automated selection with a 'max(n,m)' cap set by a maximum CSF count: orbitals carry an occupancy and an approximated entropy (n_j, S_j) and are admitted in entropy order until the CSF count would exceed N_max_CSF. A worked example takes a max(4,4) target (cap 20 CSFs) and returns a (5,4) space with exactly 20 CSFs. Critically, the authors then FILTER: 20-30% of the automatically generated active spaces were poor and were eliminated by applying a threshold to the SA-CASSCF absolute error, leaving 373 of the 542 excitations for the method comparison.","1,3 — 1 and 3 (singlet and triplet vertical excitations)",,,"Largest benchmarking of MC-PDFT and HMC-PDFT to date, over the QUESTDB set of 542 vertical excitations. After discarding the 20-30% of automatically chosen active spaces that were poor, HMC-PDFT performs about as well as NEVPT2 and CC2 on the remaining 373 excitations. The optimal fraction of SA-CASSCF energy to mix into HMC-PDFT with the tPBE on-top functional was found to be 25%, i.e. the value already used in tPBE0. NEVPT2 performance is significantly affected by active-space quality, and at normal grid size tPBE is on average about 114x cheaper than NEVPT2 for large max(12,12) spaces.",,Large-Scale Benchmarking of Multireference Vertical-Excitation Calculations via Automated Active-Space Selection,10.26434/chemrxiv-2022-9g7fd,2022,Mined from a PDF supplied by hand (automated OA fetch had failed). Recorded as a benchmark-set row. The transferable content is the entropy-plus-CSF-cap selection algorithm and the NEVPT2-vs-tPBE cost scaling with active-space size.,NEVPT2,llm_mining,claude-opus-5,yes,QUESTDB benchmark database label,2026-08-19T18:17:28+00:00
W2913961631-a,,,iron(II) complexes - spin-state energetics benchmark set,molecule,,Fe,II,3d6,varied across the benchmark set,,,"CASSCF with subsequent dynamic-correlation treatment, benchmarked against quantitative experimental spin-state energetics; a range of other quantum chemistry methods compared",Molcas 8.0-sp1 (CASSCF/CASPT2); Molpro for the partially contracted NEVPT2 and internally contracted MRCISD,,,,,10,12,"twelve orbitals in three groups: (a) the five orbitals of mainly Fe 3d character, (b) five double-shell Fe 4d orbitals dedicated to radial correlation, and (c) two ligand orbitals that form covalent sigma bonds with the Fe 3d set","a single twelve-orbital recipe applied across the benchmark set, holding 10 electrons for Fe(II) complexes and 9 for Fe(III)",,,,"Fe(II) members of a benchmark set for spin-state energetics, treated at (10e,12o) - five Fe 3d, five 4d double-shell and two Fe-ligand sigma-bonding orbitals. The set is assembled specifically so that computed spin-state splittings can be compared against quantitative experimental data rather than against other calculations.",The companion Fe(III) row uses the identical twelve-orbital space with one electron fewer.,Benchmarking quantum chemistry methods for spin-state energetics of iron complexes against quantitative experimental data,10.1039/c9cp00105k,2019,"Hand-supplied PDF, batch 4 (automated OA fetch had previously failed). This is one of the most explicitly stated active-space RECIPES in the database: five Fe 3d, five 4d double-shell, and two Fe-ligand sigma-bonding orbitals, giving (10e,12o) for Fe(II) and (9e,12o) for Fe(III). It is applied uniformly across a benchmark set measured against quantitative experiment, which is exactly what makes it transferable. formula, software and basis set are not stated in the sections read. reference_doi and year taken verbatim from papers_index.csv.",CASPT2,llm_mining,claude-opus-5,yes,'iron(II) complexes - spin-state energetics benchmark set',2026-08-19T18:17:28+00:00
W2913961631-b,,,iron(III) complexes - spin-state energetics benchmark set,molecule,,Fe,III,3d5,varied across the benchmark set,,,"CASSCF with subsequent dynamic-correlation treatment, benchmarked against quantitative experimental spin-state energetics; a range of other quantum chemistry methods compared",Molcas 8.0-sp1 (CASSCF/CASPT2); Molpro for the partially contracted NEVPT2 and internally contracted MRCISD,,,,,9,12,"twelve orbitals in three groups: (a) the five orbitals of mainly Fe 3d character, (b) five double-shell Fe 4d orbitals dedicated to radial correlation, and (c) two ligand orbitals that form covalent sigma bonds with the Fe 3d set","a single twelve-orbital recipe applied across the benchmark set, holding 10 electrons for Fe(II) complexes and 9 for Fe(III)",,,,"Fe(III) members of the same benchmark set, at (9e,12o) - the identical twelve-orbital construction with one electron fewer than the Fe(II) case.",Sharing the orbital recipe with the Fe(II) row is what allows spin-state energetics to be compared across oxidation states.,Benchmarking quantum chemistry methods for spin-state energetics of iron complexes against quantitative experimental data,10.1039/c9cp00105k,2019,"Hand-supplied PDF, batch 4 (automated OA fetch had previously failed). This is one of the most explicitly stated active-space RECIPES in the database: five Fe 3d, five 4d double-shell, and two Fe-ligand sigma-bonding orbitals, giving (10e,12o) for Fe(II) and (9e,12o) for Fe(III). It is applied uniformly across a benchmark set measured against quantitative experiment, which is exactly what makes it transferable. formula, software and basis set are not stated in the sections read. reference_doi and year taken verbatim from papers_index.csv.",CASPT2,llm_mining,claude-opus-5,yes,'iron(III) complexes - spin-state energetics benchmark set',2026-08-19T18:17:28+00:00
W2963701598-a,,,Tb(III) complexes from the 40-molecule benchmark set of the CERES code,molecule,,Tb,3,4f8,"varied across the benchmark set: acetylacetonate (acac), phenanthroline (phen), hexafluoroacetylacetone (hfac), dipyridophenazine (dppz), dipyridoquinoxaline (dpq), dimethoxyethane (dme), aqua and others",,,"CAHF/CASCI-SO (Configurational Average Hartree-Fock followed by Complete Active Space Configuration Interaction with spin-orbit coupling), benchmarked against SA-CASSCF/RASSI-SO","CERES (Computational Emulator of Rare Earth Systems), written in C++, using LIBINT for Gaussian integrals; compared against MOLCAS",,non-perturbative spin-orbit coupling in the CASCI-SO step,yes,,8,7,the seven Ln(III) 4f orbitals occupied by 8 electrons for Tb(III),"the active space is made of the seven Ln(III) 4f orbitals occupied by 8 electrons in Tb, 9 in Dy, 10 in Ho and 11 in Er; here 8 for Tb(III)",7,,7,"Crystal-field states and magnetic properties of lanthanide complexes. Across the 40 molecules considered, CAHF/CASCI-SO is substantially faster than SA-CASSCF/RASSI-SO, with comparable timings only for [Er(acac)3(H2O)2] and [Er(acac)3(phen)]. Magnetic anisotropy axes were analysed across the Kramers doublets of seven of the ten Dy complexes.",,"Calvello, Piccardo, Rao, Soncini",10.1002/jcc.25113,2017,"Code paper, but with a real 40-molecule application set and an explicitly stated active space per lanthanide. Rows are condensed per lanthanide because the active space depends only on the 4f^n configuration, not on the ligand set. d_electron_count left empty: the active space is the 4f shell. Superseding that: d/f electron count 4f8 added 2026-08-05: arithmetic from the Tb(3) oxidation state recorded in this row, not a value stated by the paper.",none,llm_mining,claude-opus-5,yes,'Tb(III) complexes from the 40-molecule benchmark set of the CERES code',2026-08-19T18:17:28+00:00
W2963701598-b,,,Dy(III) complexes from the 40-molecule benchmark set of the CERES code (ten Dy complexes in the set),molecule,,Dy,3,4f9,"varied across the benchmark set: acetylacetonate (acac), phenanthroline (phen), hexafluoroacetylacetone (hfac), dipyridophenazine (dppz), dipyridoquinoxaline (dpq), dimethoxyethane (dme), aqua and others",,,"CAHF/CASCI-SO (Configurational Average Hartree-Fock followed by Complete Active Space Configuration Interaction with spin-orbit coupling), benchmarked against SA-CASSCF/RASSI-SO","CERES (Computational Emulator of Rare Earth Systems), written in C++, using LIBINT for Gaussian integrals; compared against MOLCAS",,non-perturbative spin-orbit coupling in the CASCI-SO step,yes,,9,7,the seven Ln(III) 4f orbitals occupied by 9 electrons for Dy(III),"the active space is made of the seven Ln(III) 4f orbitals occupied by 8 electrons in Tb, 9 in Dy, 10 in Ho and 11 in Er; here 9 for Dy(III)",6,,6,"Crystal-field states and magnetic properties of lanthanide complexes. Across the 40 molecules considered, CAHF/CASCI-SO is substantially faster than SA-CASSCF/RASSI-SO, with comparable timings only for [Er(acac)3(H2O)2] and [Er(acac)3(phen)]. Magnetic anisotropy axes were analysed across the Kramers doublets of seven of the ten Dy complexes.",,"Calvello, Piccardo, Rao, Soncini",10.1002/jcc.25113,2017,"Code paper, but with a real 40-molecule application set and an explicitly stated active space per lanthanide. Rows are condensed per lanthanide because the active space depends only on the 4f^n configuration, not on the ligand set. d_electron_count left empty: the active space is the 4f shell. Superseding that: d/f electron count 4f9 added 2026-08-05: arithmetic from the Dy(3) oxidation state recorded in this row, not a value stated by the paper.",none,llm_mining,claude-opus-5,yes,'Dy(III) complexes from the 40-molecule benchmark set of the CERES code',2026-08-19T18:17:28+00:00
W2963701598-c,,,Ho(III) complexes from the 40-molecule benchmark set of the CERES code,molecule,,Ho,3,4f10,"varied across the benchmark set: acetylacetonate (acac), phenanthroline (phen), hexafluoroacetylacetone (hfac), dipyridophenazine (dppz), dipyridoquinoxaline (dpq), dimethoxyethane (dme), aqua and others",,,"CAHF/CASCI-SO (Configurational Average Hartree-Fock followed by Complete Active Space Configuration Interaction with spin-orbit coupling), benchmarked against SA-CASSCF/RASSI-SO","CERES (Computational Emulator of Rare Earth Systems), written in C++, using LIBINT for Gaussian integrals; compared against MOLCAS",,non-perturbative spin-orbit coupling in the CASCI-SO step,yes,,10,7,the seven Ln(III) 4f orbitals occupied by 10 electrons for Ho(III),"the active space is made of the seven Ln(III) 4f orbitals occupied by 8 electrons in Tb, 9 in Dy, 10 in Ho and 11 in Er; here 10 for Ho(III)",5,,5,"Crystal-field states and magnetic properties of lanthanide complexes. Across the 40 molecules considered, CAHF/CASCI-SO is substantially faster than SA-CASSCF/RASSI-SO, with comparable timings only for [Er(acac)3(H2O)2] and [Er(acac)3(phen)]. Magnetic anisotropy axes were analysed across the Kramers doublets of seven of the ten Dy complexes.",,"Calvello, Piccardo, Rao, Soncini",10.1002/jcc.25113,2017,"Code paper, but with a real 40-molecule application set and an explicitly stated active space per lanthanide. Rows are condensed per lanthanide because the active space depends only on the 4f^n configuration, not on the ligand set. d_electron_count left empty: the active space is the 4f shell. Superseding that: d/f electron count 4f10 added 2026-08-05: arithmetic from the Ho(3) oxidation state recorded in this row, not a value stated by the paper.",none,llm_mining,claude-opus-5,yes,'Ho(III) complexes from the 40-molecule benchmark set of the CERES code',2026-08-19T18:17:28+00:00
W4291465569-a,,,pentacoordinate d8 (Ni(II)) complex from a study of energy levels in pentacoordinate d5 to d9 complexes,molecule,,Ni,2,3d8,five-coordinate (pentacoordinate) donor set,,experimental geometry of the complex,state-averaged CASSCF with quasi-degenerate perturbation theory for spin-orbit effects,ORCA,"extended TZVP Gaussian basis, e.g. BS1 = [17s11p7d1f] and BS2 = [17s12p7d2f1g]",second-order Douglas-Kroll-Hess,yes,,8,5,eight electrons in five metal-based d orbitals,"the active space comprised eight electrons in five metal-based d orbitals, with the state-averaged approach applied so that all 10 triplet and 15 singlet states were equally weighted","1,3","all 10 triplet and 15 singlet states, equally weighted",3,"Energy levels of pentacoordinate complexes. The paper surveys d5 to d9 configurations; the CASSCF active space stated explicitly is the d8 case, with the full 10-triplet/15-singlet manifold equally weighted.",,"Titis, Rajnak, Boca, Inorganics 2022",10.3390/inorganics10080116,2022,"The paper's title spans d5 to d9 but the stated CASSCF active space and root counts correspond to the d8 configuration, so only that is recorded rather than inferring spaces for the other configurations.",none,llm_mining,claude-opus-5,yes,'pentacoordinate d8 (Ni(II)) complex from a study of ...' - no compound,2026-08-19T18:17:28+00:00
