tier,key,doi,title,status,rows,rows_with_gaps,priority_score,missing_nel,missing_norb,missing_orbital_description,missing_basis_set,missing_software,mining_model,text_available,si_fetched
A-active-space,W2153913404,10.1002/qua.20565,Determination of ab initio absolute Raman excitation profiles using linear response theory,extracted_partial,4,4,22,3,3,0,0,4,claude-opus-5,yes,no
A-active-space,W4411275083,10.1039/d5sc02544c,Designing molecular qubits: computational insights into first-row and group 6 transition metal complexes,extracted,8,8,22,2,0,0,8,0,claude-opus-5,yes,no
A-active-space,W2085525001,10.1063/1.451610,"The nature of the bonding in XCO for X=Fe, Ni, and Cu",extracted_partial,3,3,21,3,3,0,0,3,claude-opus-4-8,yes,no
A-active-space,W4404375365,10.3390/chemistry6060085,Theoretical Study on One- and Two-Photon Absorption Properties of π-Stacked Multimer Models of Phenalenyl Radi,extracted_partial,3,3,21,2,2,0,3,3,claude-opus-5,yes,no
A-active-space,W2101111489,10.3390/inorganics3040482,Assessing Covalency in Cerium and Uranium Hexachlorides: A Correlated Wavefunction and Density Functional Theo,extracted_partial,3,3,18,3,3,0,0,0,claude-opus-5,yes,no
A-active-space,W3209042210,10.1021/jacsau.1c00417,A DMRG/CASPT2 Investigation of Metallocorroles: Quantifying Ligand Noninnocence in Archetypal 3d and 4d Elemen,extracted,7,3,18,3,3,0,0,0,claude-opus-5,yes,no
A-active-space,W4289465398,10.1021/acs.jctc.8b00988,Combining Pair-Density Functional Theory and Variational\nTwo-Electron Reduced-Density Matrix Methods,extracted_partial,4,3,18,3,3,0,0,0,claude-opus-4-8,yes,no
A-active-space,W4416508563,10.1021/acs.jctc.5c01327,Magnetic Coupling in Non-Kekulé Diradical Hydrocarbons via Multiconfigurational Pair-Density Functional Theory,extracted,8,3,18,3,3,0,0,0,claude-opus-5,yes,no
A-active-space,W2912325344,10.3847/1538-4357/aafa76,Theoretical Characterization of C<sub>3</sub>H and C<sub>5</sub>H and Their Anions,extracted_partial,2,2,13,2,1,0,2,0,claude-opus-5,yes,no
A-active-space,W2922150769,10.1103/physreva.99.063420,Time-dependent multiconfiguration self-consistent-field study on resonantly enhanced high-order harmonic gener,extracted_partial,2,2,12,2,0,0,2,2,claude-opus-4-8,yes,no
A-active-space,W4324049352,10.3390/chemistry5010044,Impact of Di- and Poly-Radical Characters on the Relative Energy of the Doubly Excited and La States of Linear,extracted_partial,2,2,12,2,2,0,0,0,claude-opus-5,yes,no
